Name,Location,URL,datetime,lon,lat,genre,pay,about
$300 asting "Night at the Diner," a play in one act about restlessness,charleston,http://charleston.craigslist.org/tlg/5850864507.html,2016-10-28T16:23:19-0400,32.718000,-79.953700,talent,300$,� asting "Night at the Diner" a play in one act about restlessness   � Natalie (Lead): Female 26-34    � Paul (Supporting): Male 33-39   � Mick (Supporting): Male 33-39     � Alan (Supporting): Male 33-39   � Rocco (Supporting): 52-64    � Danny (Supporting): Male 37-42   � Reply to Ʈħis Post Witħ Mǻil ǻnd Pħone   ---------------------------------------------    
Looking to hire Very Experienced Skillfull Tree Climber,charleston,http://charleston.craigslist.org/lbg/5830739492.html,2016-10-15T22:10:53-0400,32.799300,-80.006000,labor,Based upon production and expertise,I'm looking to hire a very experienced highly skillfull Tree Climber.  Pay based upon production and expertise. Hours vary.  Must have own transportation and climbing gear.  Ask for Bob at    show contact info   if interested.  Thanks    
Saturday help arround house,charleston,http://charleston.craigslist.org/lbg/5832779564.html,2016-10-17T12:03:05-0400,32.710500,-80.274400,labor,$10.00/hr.,Need one person to help me do odd jobs around my house such as weed eating blowing leaves off the roof helping in my shop with a little mechanical works etc. the more experience the better. Call me (ONLY) and I will discuss in greater detail. I will not answer text messages and if your phone doesn't have a name leave a voice mail with your name OR I also will not call. Mostly work will be on the week end but for now extra days are available to catch up. I can pay $10.00/hr.   Thank you   Milton     show contact info      YOU MUST HAVE A VALID S.C. DRIVERS LICENSE. NO EXCEPTIONS.   YOU MUST BE ABLE TO TAKE AND PASS A S.C. SLED EXAM. NO EXCEPTIONS   
Tear out air condition duc work,charleston,http://charleston.craigslist.org/lbg/5850685056.html,2016-10-28T14:42:00-0400,32.935200,-80.032500,labor,Tools,I'm not paying money but have a lot of tools in a shed I'm tearing down well worth it    
Property Preservation Field Rep-Grass/Debris/Lock Changes,charleston,http://charleston.craigslist.org/lbg/5804769500.html,2016-09-29T11:27:21-0400,33.055436,-80.011883,labor,pricing matrix provided upon receipt of vendor packet,Excited and Energetic Property Preservation Vendor Wanted      Looking for someone who is ready and excited for work!      Must have the ability and tools to complete tasks such as:    -Grass cuts   -Lock changes   -Debris removals   -Roof tarps   -& More!!      HUD KEYS & LOCKS are a bonus!      Some of the tools required are:   -Drill   -Trailer   -Camera/Smartphone   -Lockboxes      Please respond to this email with all information to contact you and your experience that makes you qualified for the position. Please still respond if you don't have experience but are willing to learn.       Thank you!    
Need Clean out and Repairs on Foreclosed Property,charleston,http://charleston.craigslist.org/lbg/5846628819.html,2016-10-25T23:39:10-0400,32.779500,-79.937100,labor,$$sqft,As foreclosures continue to rise in 2016 there is a growing opportunity for you to make money.      Cleaning and Maintenance are needed on vacant REO properties.      Let us know if you're interested and ready to start immediately.      Thank you    
Electrician with commercial experience needed immediafely,charleston,http://charleston.craigslist.org/lbg/5805519406.html,2016-09-29T18:27:47-0400,32.823995,-80.024414,labor,$15.00 to 20.00 per hour- higher wage with more proven experience and verifiable track record.,Electrical Contracting Company currently seeking two experienced            commercial Electricians due to continued expansion.  We are well respected and revered in the Low Country and beyond.  We are seeking exceptional top notch individuals to join our company.                  Requirements for Commercial Electricians:              -Must have at least 5 years of Commercial Electrical experience.      -Must be able to work independently as well in a team environment.       -Must be able to work with Minimal Supervision      -Must be able to read blue prints and lay out a job from start to finish with little or no supervision.        -Must own basic hand tools with cordless drill and impact drill Electrical Contracting Company currently seeking two experienced commercial Electricians due to continued expansion.         -Must have own reliable transportation to and from work site.                -All employees must maintain a professional demeanor and clean work space on the job site at all times.         Please email resume for consideration.                                 
Electrical Contracting Company (Commercial) seeking Top Helpers  Best,charleston,http://charleston.craigslist.org/lbg/5806441674.html,2016-09-30T12:12:55-0400,32.825602,-80.056601,labor,$13.00 to $20.00 per hour based on experience,Rapidly expanding Commercial Electrical Contracting Company based in Charleston SC currently seeking two experienced Top Helpers.   We are well respected and revered in the Low Country and beyond.  We are seeking exceptional top notch individuals ONLY to join our team.   You will have the ability to earn an opportunity for growth within the company if you demonstrate leadership skills and knowledge enabling you to elevate yourself to a higher level position.       Requirements for Top Helpers:      - Must Have 2 years of Commercial Electrical experience with basic installation knowledge on how to rough in and install outlets switches and fixtures.      -Must know basic NEC Code on strapping EMT PVC and MC Cable.    .   - Ability to lift minimum 50 pounds.      -Ability to climb up and down a ladder repeatedly.      -Must be a quick learner and willing to listen to and follow direction of superior on site.       -Must own basic hand tools including cordless drill and impact drill      -Must have reliable transportation to and from work every day.  (No exceptions!)      -Must maintain a professional demeanor and maintain a clean work space environment on any and all job sites at all times.      Please respond by emailing resume with work related experience for consideration.   
Any female looking to make some extra cash?,charleston,http://charleston.craigslist.org/tlg/5850362551.html,2016-10-28T11:56:01-0400,33.028000,-80.173900,talent,tbd,If you respond and I email you back it may go into your spam folder so check that. Be serious also.       I am an attractive white male. I work a lot. Looking for a female who wants to hang out for a bit. Needs to happen at either your place or somewhere or a park. Just looking for maybe a massage or anything. If you would like to take this on let me know. Please email me and let me know what you can do and a couple photos. You must send photos please. I can text you or email you. No sex prostitution or anything illegal and if you are on a certain site soliciting I'm not interested.    
Female Adult Starlet Web/Cam/Video,charleston,http://charleston.craigslist.org/crg/5850455920.html,2016-10-28T12:43:37-0400,32.821500,-80.056800,creative,Up To $200 per hour to start,Looking for a younger woman (18-29) to Co-Star in Webcame series with older white male (45+).  Work will be part time (2-3 days per week in the morning hours).  Pay is based on viewers.  We can block out states to protect your privacy.  Must be D&DF.  Older male and younger female is the highest paying combo (because more men pay for this).  Money can be GREAT.  Creativity and fun attitude is best.  A lot of teasing is a must.  Please send G-Rated photo (full body) and contact info for interview if interested for the best job ever (no strings attached).    
Female Adult Starlet Web/Cam/Video,charleston,http://charleston.craigslist.org/crg/5850454479.html,2016-10-28T12:42:53-0400,32.821500,-80.056800,creative,Up To $200 per hour to start,Looking for a younger woman (18-29) to Co-Star in Webcame series with older white male (45+).  Work will be part time (2-3 days per week in the morning hours).  Pay is based on viewers.  We can block out states to protect your privacy.  Must be D&DF.  Older male and younger female is the highest paying combo (because more men pay for this).  Money can be GREAT.  Creativity and fun attitude is best.  A lot of teasing is a must.  Please send G-Rated photo (full body) and contact info for interview if interested for the best job ever (no strings attached).    
Female Adult Starlet Web/Cam/Video,charleston,http://charleston.craigslist.org/crg/5850449253.html,2016-10-28T12:40:09-0400,32.821500,-80.056800,creative,Up To $200 per hour to start,Looking for a younger woman (18-29) to Co-Star in Webcame series with older white male (45+).  Work will be part time (2-3 days per week in the morning hours).  Pay is based on viewers.  We can block out states to protect your privacy.  Must be D&DF.  Older male and younger female is the highest paying combo (because more men pay for this).  Money can be GREAT.  Creativity and fun attitude is best.  A lot of teasing is a must.  Please send G-Rated photo (full body) and contact info for interview if interested for the best job ever (no strings attached).    
Preschool Fitness Instructor,charleston,http://charleston.craigslist.org/dmg/5833224585.html,2016-10-17T15:36:49-0400,32.797600,-79.949300,domestic,Charge your own rate,FLYAROO Fitness: preschool exercise certification to teach dance yoga basic skills dance imagination and so much more- all in one class! We are theme-based and every month you receive a new place to travel in the classroom (i.e. circus zoo winter Hawaii).       Fitness enthusiasts teachers college students parents babysitters etc.- check out our online instructor training workshops! FLYAROO Fitness classes can be taught anytime anywhere.       The Instructor Training empowers our greatest asset YOU to share your love of fitness make extra money and have fun! You can teach the program in any setting with preschoolers: gym park beach preschool after school camps - the opportunities are endless. We build the curriculum we design the classes we choreograph the playlists YOU teach the program! We provide AFAA & NASM online credits.      We have over 100 instructors certified in training and working all over the world. FLYAROO Fitness also has a marketing team to ensure that the program is well-received nationwide. Our instructors make $30+/ hour.       Fall 2016 Promo: $100 for both certification for 1 year & online training (value $225); promo code at checkout: WeLoveFlyaroo! (must use the exclamation point)      http://flyaroofitness.com/product/online-instructor-training-academy/   
Seeking 45 Models Both Male & Female,charleston,http://charleston.craigslist.org/tlg/5846467872.html,2016-10-25T20:51:37-0400,32.848800,-79.857700,talent,$950,We (Casting Company) are searching for enthusiastic models (male/female) you must be at least 18. If you are interested in making money growing your career or just starting one this call is for you. This call is for all shapes sizes. The shoot will be paying a minimum of $950 (per shoot) and we are currently searching for a minimum of 45 models. The photographer will take 5 of the 45 models used in this shoot and present them with the opportunity to sign a 12 month contract for $75000 with all travel expenses included.       Website: http://twolivecastingcrew.site50.net/      If you are interested or would like to know more information email us with your name age sex and 1 head shot.      You can find me on Facebook at: https://www.facebook.com/robert.patterson.5268750   or on Linked in at: https://www.linkedin.com/pub/robert-patterson/8b/529/757/    
LOVE WINE?,charleston,http://charleston.craigslist.org/evg/5845235928.html,2016-10-25T08:30:02-0400,32.867400,-79.804900,event,20%-44%, free wine, incentive trips, and MUCH MORE!,Do you enjoy wine? Would you like to work from home have flexibility and teach others how to enjoy wine? Do you consider yourself to have the entrepreneurial spirit?      If so look no further! We are looking for fun social driven motivated and self-starting individuals to join us in our unique business. This is commission based only not a salary or hourly position. If you have been looking for something to earn great supplemental income along side your job this is the most refreshingly different option for you to do that! This works best along side a current job.      We are looking for people who already work full time or part time who want to make some extra spending money or need to supplement their income OR stay at home moms retirees looking for something to get them out of the house and make some extra money.       We conduct private guided wine tastings in the comfort of our guest's home. We also specialize in wine clubs stemware wine gifts and personalized wine labels. Our wines are exclusive limited production wines from our winery in Napa. We are looking for individuals to conduct those tastings. Partner with someone who has LOTS of experience has earned EVERY incentive trip and is a top leader in the area!      Our compensation plan is very generous with consultants having the opportunity to make up to 44% on all sales. There is room to advance and grow within our company as well. We have a training program in place to help train our new consultants on everything they will need to know about our wines. NO SALES QUOTAS EITHER. You must be 21 or older to apply. If you have party plan experience that is a bonus! The holidays are COMING! Pay cash for Christmas.      If interested please email the best contact number for you and the most ideal time to reach you.    
Ladies, want to be a photo model but told you have too many tattoos?,columbia,http://columbia.craigslist.org/crg/5852284960.html,2016-10-29T15:36:15-0400,34.924786,-81.026402,creative,Unknown,I am a hobbyist photographer (I do some paid stuff but mainly for fun) seeking a female model for some more metallic body-painting photos like the first several photos here (the rest of the photos are some of my other work.)      Ladies if you've wanted to be a model but have been told that you have too many tattoos this would be a great way to do some modeling (as the paint will cover any tattoos that you have.) The "paint" is a fine metallic powder (like used in makeup) that is mixed with hand sanitizer and then simply spread on and allowed to dry. So it can be cleaned off very easily with just water.      This is a non-paid gig but you will get high-quality copies of all photos done so if you're working on building a portfolio this would be a great opportunity.      You can see more of  my work at the following websites:      https://www.facebook.com/Shutterbug-Photography-in-Rock-Hill-SC-173399406029015   https://www.flickr.com/photos/shutterbug-photo   http://www.shutterbug-photo.us/   https://www.facebook.com/Shutterbug.Photography.Rock.Hill.SC (personal facebook)    
New dating company scouting female models for commercial & hostess,columbia,http://columbia.craigslist.org/tlg/5852230992.html,2016-10-29T15:03:26-0400,34.005620,-81.024048,talent,Pay varies + Opportunities for commission,*New SC Dating Company*    Scouting ladies 18 and over w/ valid ID transportation and capable of comprehending and signing the modeling and or hostess sessions contract invite your friends) looking for models for multiple projects from thin  short to tall and 18-40. no experience required.   **Currently scouting WhiteMixedLatinasand asian females. Their will be ebony position in the near future.**   Email me or text me a recent full body snapshot and a good contact phone number and if you fit the criteria i will give you a call for further detail & pay.      **No Phone Calls Please **    
EARN A STEADY $500 WEEKLY,columbia,http://columbia.craigslist.org/lbg/5851890233.html,2016-10-29T11:51:35-0400,34.024700,-80.953200,labor,$500.00 Weekly Payment,We are seeking urgent craigslist poster individuals that will be posting daily on the advertisement area on craigslist with a constant payment of $500.00.      Please contact Frank Brandon for more details and information    
Painting help,columbia,http://columbia.craigslist.org/lbg/5851720235.html,2016-10-29T10:05:35-0400,34.085300,-80.916700,labor,Based on experience,Looking for painters for two day painting job. Need to have experience in painting. Using sprayer and a good trimmer is a plus. Please send text with experience.    
Get Affordable Assistant, PR & Mgmt 4 Artists, Vendors, & Small Biz,columbia,http://columbia.craigslist.org/wrg/5841307088.html,2016-10-22T14:50:48-0400,33.798400,-84.388300,writing,Unknown,HEY it's Qn. Everlena Brown (QEB)! This weekend only we have PR Artist Management and other MEDIA & ENT assistance starting $50/WK. Dont miss your blessing this HOLIDAY SEASON! GOOD HELP right here... Let us SELL YOUR STORY! Reply     show contact info   w/ email to review media kit and contract.      *$50/WK SPECIAL ENDS: MONDAY 12PM ET OCT 24. We know people need all types of help: errands letters plans handlers etc. This HOLIDAY SEASON we wanna ensure you have all your MEDIA & ENTERTAINMENT PRODUCTION needs met effectively to BRING IN THE NEW YEAR!            "It's really a wonder that I haven't dropped all my ideals because they seem so absurd and impossible to carry out. Yet I keep them because in spite of everything I still believe that people are really good at heart."    ― Anne Frank The Diary of a Young Girl   tags: hope human-nature 8161 likes Like   J.M. Barrie   "All the world is made of faith and trust and pixie dust."    ― J.M. Barrie Peter Pan   tags: faith life pixie-dust trust 8141 likes Like   Dr. Seuss   "Unless someone like you cares a whole awful lot   Nothing is going to get better. It's not."    ― Dr. Seuss The Lorax   tags: activism 8135 likes Like   Stephenie Meyer   "And so the lion fell in love with the lamb. . ." he murmured. I looked away hiding my eyes as I thrilled to the word.   "What a stupid lamb" I sighed.   "What a sick masochistic lion."    ― Stephenie Meyer Twilight   
new amateur models$$$$$$$$$$,columbia,http://columbia.craigslist.org/tlg/5811800823.html,2016-10-03T21:13:37-0400,33.993700,-81.019900,talent,cash$$$$$$$$$$$,girls that want to experience a new you! have fun modeling bikinilingeriemore  cash pay!  reply with current photos for return thx!    
Daters wanted,columbia,http://columbia.craigslist.org/tlg/5851106766.html,2016-10-28T19:00:40-0400,34.072600,-81.179600,talent,TBD,Daters for casual encounters wanted. Must have open availability. 21 and older inquire within    
Web series?,columbia,http://columbia.craigslist.org/tlg/5850889121.html,2016-10-28T16:37:43-0400,34.026000,-81.004600,talent,Unknown,Hey this is a random post. My friend and I are thinking about starting a web series. We have an idea for a story line. We have a camera. Just need the right team. So if anyone is interested in small opportunity hit me up. It says no pay but I hear YouTube stars pocket a little based on views. I'm still learning    
Low Voltage Cabling and wiring,columbia,http://columbia.craigslist.org/dmg/5850500038.html,2016-10-28T13:05:59-0400,34.063500,-81.026500,domestic,Unknown,Racking and Stacking Patch Panels   •Pulling and routing CAT5 or CAT 6 cable in a DATA CENTER or new construction commercial environment   •Terminating phone jacks   •Dressing and terminating distribution frames (66 or 110 blocks patch panels)   •Testing cable/troubleshooting    •Installing support structures (ladders racks j-hooks)   • Over 20 years of Low Voltage electrical skills and knowledge   •ALSO ABLE TO DO RJ45 PLUGS   •3 + years' experience working on commercial projects   
Male Pet Loving Santa Clauses Needed 12/10/16 & 12/11/16 -- Across SC,columbia,http://columbia.craigslist.org/evg/5850414651.html,2016-10-28T12:22:35-0400,34.138800,-80.889200,event,$25/hour,We are currently hiring animal loving MALE Santa costume characters for a FUN and EASY in-store promotion at a well known retail pet care chain. Talent must be available SATURDAY 12/10/16 from 12 pm - 4 pm and SUNDAY 12/11/16 from 12 pm - 4 pm. Talent MUST be pet friendly (no allergies or fear of pets) and willing to take photos while holding consumers' pets that they bring to store location. *Santa costume wig etc. provided at the store. Talent to provide comfortable clothing for underneath costume and dark/black boots/tennis shoes/shoes.*      Pay: $25 per hour   Date: Saturday 12/10/16 AND Sunday 12/11/16   Time: 12 pm -4 pm each day Talent must be onsite 15 minutes early (by 11:45 am)      South Carolina Locations:   Columbia	SC	29212   Greenville	SC	29607   Spartanburg	SC	29301   Rock Hill	SC	29730   Anderson	SC	29621   Bluffton	SC	29910-6635   Aiken	SC	29803-8521   Mt Pleasant	SC	29464-8216   Summerville	SC	29483-7321   Charleston	SC	29407-4616   Columbia	SC	29229-4399   Greenville	SC	29607   Taylors	SC	29687-5334   Myrtle Beach	SC	29577   Lexington	SC	29072-9155   Easley	SC	29640   Beaufort	SC	29906-4233   Florence	SC	29501   Myrtle Beach	SC	29588   Seneca	SC	29678-0919   Greenwood	SC	29649-1350   North Myrtle Beach	SC	29582   Charleston	SC	29406-5004   Columbia	SC	29209-1027   Simpsonville	SC	29680      Ideal Talent: Male 18 years and older pet LOVER fun outgoing and energetic! Embody the holiday spirit and the Santa Claus character.      *Talent must approve and pass background check*      Please reply with current email phone number and Full name as well as a recent head shot.       Please reply with (applicable city) SC Demo in subject line.    
nude house cleaning,columbia,http://columbia.craigslist.org/dmg/5850398663.html,2016-10-28T12:14:27-0400,33.947261,-81.091794,domestic,neg,start sunday  looking for females only     show contact info   
*Insured Handyman for Property Preservation work*,columbia,http://columbia.craigslist.org/lbg/5850210070.html,2016-10-28T10:32:33-0400,33.364500,-81.271800,labor,$20,I'm looking for an insured and experienced handyman to do an occupancy inspection in Blackville. Basically I need a vendor who can drive out to the property and take photos from all sides of the property showing that it's either vacant or occupied. No contact no posting no physical labor. This job pays $20 & once you're onboard with our company any future work orders we get in your service area would go to you. We do require our vendors to pass a background check & we do require you to be insured at $1 mil. each occurrence & $2 mil. general aggregate. I know $20 isn't much to go on but you can think of it as a foot in the door type of situation and once this occupancy inspection is done you would be receiving work as it comes & you can choose to accept orders or decline them at your discretion. I also have this type of work in several other areas of SC.    
Modeling Opportunities Females,columbia,http://columbia.craigslist.org/tlg/5836289796.html,2016-10-19T13:25:43-0400,34.063500,-81.026500,talent,will discuss cash,Any amateurs  beginners looking to model for the first time paid cash for your own photo shoots  any moms  coed ladies that desire a new opportunity and a great way to express yourself. photos with return and way to contact.    
Girls of the South!,columbia,http://columbia.craigslist.org/tlg/5827875821.html,2016-10-14T06:23:53-0400,34.063500,-81.026500,talent,cash pay,Ready for something new? try modeling today! be confident bring a great attitude to learn get cash!  looking for real southern girls that rock!  no experience needed  recent photos and contact info please.    
Seeking open-minded female.,columbia,http://columbia.craigslist.org/tlg/5850142286.html,2016-10-28T09:49:18-0400,34.085300,-80.916700,talent,Up to $300/hour,I am a 54 yr old white male Dom. I am in need of a new pet (sub).   You must include a photo with your response.   
Southern Sweethearts,columbia,http://columbia.craigslist.org/tlg/5838946674.html,2016-10-21T06:53:32-0400,34.063500,-81.026500,talent,each shoot session pays cash, same day,All American beauties for immediate cash paid photo sessions if you have been needing a part time job this may be for you please reply with photos and a way to contact more info.    
Photographer seeking New Female Models,columbia,http://columbia.craigslist.org/tlg/5841701299.html,2016-10-22T19:02:20-0400,34.063500,-81.026500,talent,CASH,Ladies try modeling for fun cash and a great experience 18 and over hot moms coed cuties all try it out  variety of sessions for you to choose photos with reply.    
* Warehouse Product Repackaging////  $19/H.R *,columbia,http://columbia.craigslist.org/lbg/5849743097.html,2016-10-27T22:05:06-0400,39.830200,-105.037000,labor,$19/hourly,Looking for some Warehouse help with a product packaging rework.    We are looking for 2 people to help us repackage our products.    This will start tomorrow October 24th and go through the the end of the week 9AM - 4PM. Need to be able to stand for entire shift and lift 40lbs but most work will not involve lifting.     Please respond if interested.    
Hot Preppy Ladies Wanted Now,columbia,http://columbia.craigslist.org/tlg/5849486198.html,2016-10-27T18:21:31-0400,33.962500,-80.979700,talent,$4,500,Hiring hot local females for high paying videos   More than 450 models have shot with us we will provide references   Fun and attractive models for you to choose from.      Deal with the production company and not with any agents collectors   etc.      We pay you $4500 a shoot up front.      We will provide a make-up artist for you.   The outfits/wardrobe will be provided       You must be 18-24 years old no tattoos tan cute face and smile.      Inquire by sending pics and measurements.    
Looking for a Portrait Photographer,columbia,http://columbia.craigslist.org/crg/5849275518.html,2016-10-27T16:09:03-0400,34.602400,-80.710300,creative,% base or by the HR Available,We are a National Photography company that specializes in family portraits   currently expanding our photographer base in your area.   We will provide all of the customers and have several different options for pay   based on experience.      Photographer must have their own equipment and transportation.       If you feel that you meet all the qualifications please submit your info at our Facebook page for an interview.      @americanfamilyportraitstudio      To apply please submit your info and portfolio link for immediate consideration.      Due to the volume of applications we are unable to respond to each application personally. If we are interested in your qualifications we will contact you via telephone or email as soon as possible    
***Insured Handyman Needed***,columbia,http://columbia.craigslist.org/lbg/5849050837.html,2016-10-27T14:05:11-0400,33.696700,-80.867800,labor,$20,I'm looking for an insured and experienced handyman to do an occupancy inspection in St. Matthews.  Basically I need a vendor who can drive out to the property and take photos from all sides of the property showing that it's either vacant or occupied.  No contact no posting no physical labor.  This job pays $20 & once you're onboard with our company any future work orders we get in your service area would go to you.  We do require our vendors to pass a background check & we do require you to be insured at $1 mil. each occurrence & $2 mil. general aggregate.  I know $20 isn't much to go on but you can think of it as a foot in the door type of situation and once this occupancy inspection is done you would be receiving work as it comes if you choose to accept orders or decline them at your discretion.  I also have this type of work in several other areas of SC.    
Looking to get a House in Columbia!,columbia,http://columbia.craigslist.org/dmg/5814533480.html,2016-10-05T15:09:00-0400,33.965900,-80.935500,domestic,400-900,Will pay a finder's fee if you can bring me a home for sale by owner in Columba. Please see what I'm looking for exactly! compensation is 400-900 which is paid at closing.       0-150k   3 or more beds 1 or more baths 1-150k cash    1+ BA   1100 sq ft or more.    1960 or newer will buy in the 1950s but it has to be a 3/1.5 minimum. . .no 3/1's in the 1950s)    
transmission rebuild,columbia,http://columbia.craigslist.org/lbg/5848962143.html,2016-10-27T13:19:29-0400,34.110300,-81.196600,labor,negotiable,I am looking for someone to rebuild my transmission on a 5 speed 2003 Toyota mr2 if you are qualified and interested give me a call at    show contact info   my name is mike    
