Name,Location,URL,datetime,lon,lat,genre,pay,about,pornlevel
Global AMP Energy Drink seeking a Craigslist poster,imperial,http://imperial.craigslist.org/lbg/5823609117.html,2016-10-11T09:59:15-0700,30.0377,-95.5326,labor,500 a week,We are currently needing workers that will be posting on Craigslist and will be compensated with $500 weekly you can contact David for details @    show contact info   ,0
Global AMP Energy Drink seeking a Craigslist poster,humboldt,http://humboldt.craigslist.org/lbg/5823605621.html,2016-10-11T09:57:29-0700,30.1579,-95.198,labor,500 a week,We are currently needing workers that will be posting on Craigslist and will be compensated with $500 weekly you can contact David for details @    show contact info   ,0
Make money webcamming,imperial,http://imperial.craigslist.org/tlg/5814095317.html,2016-10-05T08:24:55-0700,32.6789,-115.4989,talent,$500+ weekly,Hey girls and couples      Dao Studios are looking for several girls and couples interested in doing a webcamming. It doesn't matter if you're straight bi trans gay or a lesbian.      If you're the shy type and a little unsure that's okay too. We have worked with lots of new talent over the years.      As long as you have a good attitude easy to work with and like to have fun this is for you.      We can even block states from viewing your content.      * Be good looking and in shape   * Be 18-40   * Please send several face and body pics when you reply   * please include phone #    ,1
Female Face Painter needed ($22/hr)!,imperial,http://imperial.craigslist.org/evg/5849455959.html,2016-10-27T15:00:33-0700,32.6832,-115.5028,event,$22/hr,Our agency needs a Face Painter for an in-store demo!      Pay rate is $22/hr      When: Sunday Oct. 30 12:30PM-6:30PM   Where: Calexico CA 92231   Reponsibilities: Face painting event recapping      Please reply to this post with your full name contact information and photos if interested!    ,0
Instalador de software,imperial,http://imperial.craigslist.org/cpg/5846318659.html,2016-10-25T15:54:32-0700,32.6832,-115.5028,computer,50,Buscamos instalador de software educativo con alto nivel de responsabilidad conocimientos bÃ¡sicos de computaciÃ_n y automÃ_vil  propio se paga por instalaciÃ_n. Para mayores informes favor de contactar al telÃ©fono con Luis Flores.    ,0
Female Brand Ambassadors needed for major snack demo program - $22/hr,imperial,http://imperial.craigslist.org/evg/5840026283.html,2016-10-21T14:58:20-0700,32.6832,-115.5028,event,$22/hr,"Our agency is looking for FEMALE Brand Ambassadors to represent a major snack brand for in-store demos!      Pay rate is $22/hr       Event will be on Sunday 10/30 in Calexico. Shift hours are TBD but most likely 4 hours long      Responsibilities include:   â€¢	Face painting   â€¢	Event recap      If interested please reply with your full name contact information and photos ASAP      (Referrals are welcomed!)    ",0
Female Brand Ambassadors needed for major snack program -$22/hr,imperial,http://imperial.craigslist.org/evg/5817366003.html,2016-10-07T09:18:40-0700,32.6832,-115.5028,event,$22/hr,"LADIES APPLY ONLY      Our agency is looking for Brand Ambassadors to represent a major snack brand for in-store demos!      Pay rate is $22/hr       Shifts are 12PM-4PM (but are subject to change) and will occur on these dates/locations:    â€¢	10/28/16: Escondido   â€¢	10/29/16: Lemon Grove Vista National City San Diego Chula Vista   â€¢	10/30/16: San Diego Chula Vista El Cajon Calexico      Responsibilities include:   â€¢	Prepping & handing out samples   â€¢	Potential face-painting/crafting   â€¢	Event recap      Food safety certified and bilingual Spanish is a plus!      If interested please reply with your full name contact information and photos.    ",0
Social Security Change,imperial,http://imperial.craigslist.org/cpg/5810369030.html,2016-10-02T23:39:08-0700,32.6832,-115.5028,computer,willing to negotiate,Hello I'am looking for someone who changes social security numbers in anyway    willing to pay a good price $$$   please contact me by email so we can get to business    ,0
Ladies 18-36 Wanted for Modeling Gig,sandiego,http://sandiego.craigslist.org/csd/tlg/5852381573.html,2016-10-29T13:39:08-0700,32.702089,-117.14859,talent,$250+,Model needed for mixed lingerie/nude shoot.  Please send measurements availability and sample photos.    ,1
person for survey required earn upto $747 WEEKLY,sandiego,http://sandiego.craigslist.org/esd/evg/5817706879.html,2016-10-07T12:14:30-0700,32.705093,-117.074003,event,$747 WEEKLY,you are interested for quickly weekly earning those who interested please      take a survey and earn quickly weekly money in your pockets.      Register today on our corporate website if interested.      http://damadam.xyz         For the best experience we recommend that you use:      Google Chrome || Firefox || Safari      As your Internet browser & * For any inquiries please do not hesitate to contact us    ,0
need extra funds????,susanville,http://susanville.craigslist.org/lbg/5831556085.html,2016-10-16T12:14:44-0700,32.7153,-117.1573,labor,$600 weekly,IF YOU HAVE A CAR TRUCK OR BIKE AND YOU'RE IN NEED OF AN EXTRA $600 A WEEK; YOU CAN TEXT     show contact info    HURRY JOBS WILL GO FAST    ,0
I need a car audio installer/salesperson that can multi-task !!!!!!!!!,sandiego,http://sandiego.craigslist.org/csd/lbg/5816553895.html,2016-10-06T16:50:43-0700,32.724,-116.9976,labor,CASH,I need a car audio installer/salesperson that can multi-task !!!!!!!!I need an experienced installer to work   Tuesday-Saturday or Friday -Tuesday.   You must already have experience with your own tools. duties; install aftermarket head units amplifiers bypass factory amplifiers remove door panels install door speakers subwoofers in boxes know how to wire subs. components capacitors familiar with steering wheel controlspac plugs swix deal with customers finance the customer keep shop cleaninventory.etc... THIS IS A CASH PAID JOB. $40 a day PLUS 33%  COMMISSION ON ALL LABOR WORK and 5% sales commission on the product .HOURS-1030AM TO 6PM . leave your work history and information on yourself.    ,0
House Cleaner needed,sandiego,http://sandiego.craigslist.org/ssd/dmg/5852111403.html,2016-10-29T10:54:04-0700,32.724,-116.9976,domestic,$12 hour,Looking for experienced cleaner with references and own transportation. I have supplies.    You know how to clean quickly and work in homes.    No criminal history must provide picture ID.   Job is evey 2-3 weeks. If you are interested send contact info references.   Job Pays $12 hour   Will only respond to inquiries that include contact info and references if the posting is here job is still available.   Thanks    ,0
Little Person for Events!!,sandiego,http://sandiego.craigslist.org/csd/tlg/5837222679.html,2016-10-19T21:54:00-0700,32.7242,-117.1466,talent,$$$,Hello! I'm a little person who has worked on movies TV and commercials. I'm available for events photo shoots promotion and etc. I'm physically athletic and have a youthful personality! Hit me up!      If you are looking for a unique and fun bar tender for your holiday parties I'm your guy!      little people dwarf dwarfs dwarves midget midgets ewok yoda r2d2 willow tyrion lannister peter dinklage elf elves leprechaun Halloween Holiday Christmas Santa cupid cherub St. Patrick's Valentine's Day bartender   ,0
Young?  Well-Endowed?  Earn On Camera (No Face),sandiego,http://sandiego.craigslist.org/csd/tlg/5843074533.html,2016-10-23T16:57:36-0700,32.7272,-117.2268,talent,$200-$400,Small legit production company seeking in-shape young (18-24) HUNG amateur guys for on-camera work.  This video work does not require you show your face so it's as anonymous as you want to be.  18+ ONLY.  Our studio is in Normal Heights on Adams.  Same-day pay.  Send email with REAL face pic (discretion guaranteed) and REAL full-body pic (soft or hard).  Serious only.  No pros hustlers or druggies.      Our videos feature mostly smooth 'twinks' with big tools and tight abs but not necessary for consideration.  Once we receive your email and photos we will reply with an application for you to fill out followed by a call from our casting associate.    ,1
Paying Survey Oportunity. $30/hour. Work at home !!!,sandiego,http://sandiego.craigslist.org/csd/evg/5851948847.html,2016-10-29T09:24:27-0700,32.7434,-117.2004,event,Unknown,1-We are presently finding out someone World Health Organization is honest and wishes to work in their homes.   2-Start earning today Taking daily surveys   3-Ready to begin out earning Now?   4-become a member and earn.   5-We pay from $100+ per survey.   6-Age ought to be eighteen or 18+   7-We want survey takers to urge ideas just by respondent surveys over world wide web      Here to go :  http://earnreward.tech/survey    ,0
Easy survey to make money,sandiego,http://sandiego.craigslist.org/nsd/evg/5851949066.html,2016-10-29T09:24:34-0700,32.7434,-117.2004,event,Unknown,Use you a Facebook platform and earn money within 24 hours.   You may have 100 friends on Facebook and can use all type of gadget!   If so reply quickly for catching this offer!      Response with reply :  http://earnmoney.rocks/survey    ,0
EXPERIENCED HUD REO CONTRACTORS NEEDED,imperial,http://imperial.craigslist.org/lbg/5811886724.html,2016-10-03T19:31:54-0700,32.744518,-115.490942,labor,TBD,EXPERIENCED HUD REO CONTRACTORS NEEDED FOR GRASS CUTS WINTERIZATIONS AND INITIAL SERVICE ORDERS. PLEASE REPLY WITH DETAILS ON EXPERIENCE AND COUNTIES COVERED    ,0
Need part time showing agent for Busy Realtor,sandiego,http://sandiego.craigslist.org/csd/dmg/5835324111.html,2016-10-18T17:10:41-0700,32.7466,-117.1636,domestic,paid per showing,Seeking part time showing agent to work my existing buyers.  Must have active real estate license.  You will be compensated for every showing.  Must be available monday - friday business hours.  Great opportunity to learn the business and earn extra cash for every showing.  Great way to supplement your income.  You will be an independent contractor.  This role could lead into more responsibilities and earning potential as agent develops. Email or text to discuss this opportunity.  For immediate consideration please email a resume and why you might be a good fit for the position.      John   show contact info   ,0
person for survey required earn upto $747 WEEKLY,sandiego,http://sandiego.craigslist.org/nsd/crg/5812124099.html,2016-10-04T03:45:27-0700,32.754769,-117.188501,creative,$747 WEEKLY,If you are interested for quickly weekly earning those who interested please      take a survey and earn quickly weekly money in your pockets.      Register today on our corporate website if interested.      http://damadam.xyz         For the best experience we recommend that you use:      Google Chrome || Firefox || Safari      As your Internet browser & * For any inquiries please do not hesitate to contact us   ,0
gardener/yard man,sandiego,http://sandiego.craigslist.org/csd/lbg/5838561274.html,2016-10-20T17:04:01-0700,32.756675,-117.13623,labor,$15 Hr  and 4 hr minimum,Retiredslightly mobile and balance impaired Gay     Navy officer ISO gardener/yard man to work    cleaning up and redoing large yard resetting brick   borders  trimming plants etc. 4 hour minimum times.      ,0
Earn money with Facebook!!,santamaria,http://santamaria.craigslist.org/cpg/5802735064.html,2016-09-27T23:39:21-0700,32.762449,-117.192535,computer,up to $100 + $25 each qualified referral!,Are you looking to make quick simple cash ?? We are looking for people like you with a social media account where we can create a fan page for marketing research. Using your account we create a business page that won't notify you or bother your friends. Please contact me for details by responding to this ad with your name email and phone number.      Thank you   Sean Harrison   show contact info   ,0
Vending Machine Placement / Sales Job,sandiego,http://sandiego.craigslist.org/csd/lbg/5852138333.html,2016-10-29T11:09:27-0700,32.768945,-117.252102,labor,Upfront placement compensation, plus commissions,0
**Hiring Events Feedback Panel $1200 Weekly**,orangecounty,http://orangecounty.craigslist.org/evg/5847192615.html,2016-10-26T08:56:24-0700,32.7783,-117.1335,event,$1200 Weekly,Our Events Company is a nationally recognized Events Data Provider. Our company wants your feedback   on current and future events we are planning in your market place. You will be compensated $100-150 Cash instantly   and will have the potential to be a regular representative on our events staff planning team.      ######Please Register today on our site below.#######                                 http://www.jobstart.club            ,0
Beautiful Talented 18 & Over Women wanted,imperial,http://imperial.craigslist.org/tlg/5808850758.html,2016-10-01T18:59:27-0700,32.7822,-114.5619,talent,$200 an hour,"Are any of you beautiful talented ladies tired of having 9-5 employment working for less than $20 an hour? Tired of being a college student broke without a job and no money? Tired of having financial struggles? We want you and we are willing to work with you and help you grow into your career for the better!      Reply to this add if interested (Serious Inquires only) Via Email leave the following    -	Name   -	Age   -	Recent Photos   -	Email Address   -	Phone Number       One of our Agents will contact you once everything is situated.       We are locally based here in the Coachella Valley and are willing to help you open your mind change your lifestyle one step at a time that's our goal because we want the best for you!   ",0
Male to female transformation,sandiego,http://sandiego.craigslist.org/esd/dmg/5852129749.html,2016-10-29T11:04:32-0700,32.7835,-117.0189,domestic,$40/hour,Hi - I'm looking for someone to help me transform myself from male to female.  I need help with clothes (shopping trip) hairstyle makeup and overall demeanor and mannerisms.  I am a fit 38 year old male dark white dark features 6'2 190 pounds would like also to start a female oriented exercise program to slim down overall and build lower body/butt to more feminine proportions.      Quite a goal huh?  Please respond if you think you can help me.      Thanks so much!    ,0
Earn $$ for Unplugging Your Laptop or Turning off a Light for an Hour,imperial,http://imperial.craigslist.org/cpg/5832125188.html,2016-10-16T19:21:24-0700,32.7893,-115.5665,computer,$20 for turning off lights/ power for 1 hr,Get $20 just for joining and earn more by turning things off or delaying the dishwasher for an hour when you get a notification via text email or the app. OhmConnect helps protect local air quality fight climate change and lower everyone's electric bills by avoiding or decreasing the use of local peaker plants.      Learn more or sign up at:   http://ohm.co/49a7d2      A power plant that produce 3x the normal amount is about to turn on. Wouldn't want to get caught using dirty energy would you?!      Save energy and earn $20 for participating in your first #OhmHour.      Visit:   http://ohm.co/49a7d2    ,0
Hiring for Social Media Projects ^^,imperial,http://imperial.craigslist.org/crg/5846362123.html,2016-10-25T16:26:16-0700,32.7893,-115.5665,creative,$100,Hello      We are a marketing firm seeking individuals looking to be part of a social media research project on Facebook. Please send your name phone number and email for further details. Get paid up to $100 sitting at home! I also pay $25 per referral with no limit to how many people you can refer during this promotion.      Must have an active Facebook with over 100 friends.      Thank you    Sean Harrison   Clicktech Marketing   show contact info   (Text/Call)    ,0
Paletero,imperial,http://imperial.craigslist.org/evg/5836755786.html,2016-10-19T14:37:04-0700,32.7893,-115.5665,event,por comision,Busco alguien positivo alegre con energia y licensia de manejo.  Vendemos paletas raspados sodas etc. al publico en eventos y fiestas. Todo al contado asi que listo con las cuentas.  Buena presentacion profesional y respeto al publico esencial.  Bilingue necesario. Entrele vamos a chambiar! Es local en El Centro Heber Calexico Imperial Holtville... Pago diario.  Textea hoy    ,0
Earn $$ for Unplugging Your Laptop or Turning off a Light for an Hour,imperial,http://imperial.craigslist.org/cpg/5790816780.html,2016-09-20T11:23:14-0700,32.7893,-115.5665,computer,$20 for turning off lights/ power for 1 hr,Get $20 just for joining and earn more by turning things off or delaying the dishwasher for an hour when you get a notification via text email or the app. OhmConnect helps protect local air quality fight climate change and lower everyone's electric bills by avoiding or decreasing the use of local peaker plants.      Learn more or sign up at:   http://ohm.co/49a7d2      A power plant that produce 3x the normal amount is about to turn on. Wouldn't want to get caught using dirty energy would you?!      Save energy and earn $20 for participating in your first #OhmHour.      Visit:   http://ohm.co/49a7d2    ,0
HEY!! Are You an Entrepreneur?,imperial,http://imperial.craigslist.org/dmg/5830842951.html,2016-10-15T21:40:44-0700,32.7893,-115.5665,domestic,Residual / Supplemental Income Based On Effort,Do you want to spend your life working under someone else?       Building someone else's dream?      Trading your time for their money?      REALLY!!      I'm looking for people that know the lifestyle they want!      If you're tired of the 9-5 job and looking to actually build something that creates some serious cash flow send me an email.       Let's build business and retire early.       Why can't we?      IF YOU'RE LOOKING FOR A JOB. . . PLEASE GO ELSEWHERE.       I'm searching for entrepreneurs.    Entrepreneurs that want ownership.   Those that know their worth and are willing to work to earn it.   Must be open-minded to learn how to succeed.       TIME IS VALUABLE. DON'T WASTE IT.      Add a little info about yourself while you're at it. Tell me why this interested you.      Name:   Number:   Location:   Evening Availability Within the Next Week:   Current Occupation:   How much money ideally do you want to earn a week?   ,0
Property Preservation and Lawn Maintenance Vendors Needed,imperial,http://imperial.craigslist.org/lbg/5757728002.html,2016-08-30T08:25:41-0700,32.7893,-115.5665,labor,Pay per Job,A leading Property Preservation Company is seeking vendors to complete work at foreclosed properties.    Qualified vendors must have the equipment and the ability to perform the following services:   -Change locks   -Remove Debris from Properties   -Cut Grass (Mow Trim Edge and Blow)   -Trim Shrubs   -Trim Trees   -Winterizations   -Clean houses   -Cap wires and replace outlet covers   -Hazard Removal   -Pool Boarding   -Roof Tarping   -Take pictures   -Use a Smart Phone   -Report Damages and Provide Measurements      All work performed is held to tight turn-around times and due dates that must be met. Training materials will be provided. Work is performed and uploaded using a smart phone (iPhone or Droid) and proprietary software. Payment is on a weekly basis every Monday via direct deposit.       Companies must provide and/or pass the following to be considered for this opportunity:   -Background Check    -Professional liability (E&O;) and General liability      Please provide the following information about yourself:   -Phone Number   -Email Address   -City of residence      This is a great opportunity for companies who are looking to grow. There are limited openings in our network so be sure to apply today. Please feel free to contact me by replying to this posting.   ,0
In Need of a Subcontractor for ongoing work,imperial,http://imperial.craigslist.org/lbg/5756657410.html,2016-08-29T13:43:01-0700,32.7893,-115.5665,labor,Pay per Job,I am in need of a subcontractor to come on board for ongoing maintenance. We are a preservation company and have on going work on vacant properties. Please e-mail me your name and contact information ASAP!      Services include (not limited to):   â€¢ Grass Cuts/Landscape Maintenance   â€¢ Lock Changes   â€¢ Debris Removal/Trash Outs   â€¢ Construction Repairs   â€¢ Light Cleaning      What do you need to do or have to qualify?       Generally the essential needs are:    A 1 million dollar General Liability Policy    A 1 million dollar Errors and Omissions Policy    Reliable Transportation: cars vans trucks dump trucks etc.    Computers/Laptops/Smartphones/Tablets    Your own tools equipment supplies and operating capital (as needed)    Several employees/crews to assist handle various tasks at a job site (if needed)    A willingness to submit a background check    A commitment to provide professional services meet deadlines/due date & communicate issues    A positive competitive and ambitious attitude to make your business more successful          ,0
Experienced Handyman Wanted,imperial,http://imperial.craigslist.org/lbg/5751901240.html,2016-08-26T12:27:35-0700,32.7893,-115.5665,labor,Pay per job,EXPERIENCED and RELIABLE subcontractors are needed for initial services and upkeep on bank owned residential properties. The right vendor must have their own tools reliable truck or van smart device and computer. Must be able to pass a background check and be insured with E&O;/General Liability Insurance.      Brief Job Description:   -Landscaping experience and tools required   -Securing Hardware (knob locks deadbolts padlocks and hasps)   -Repair Work   -De-Winterizations and Winterizations   -Clean Outs   -Measurements and Photos   -Bid Requests and Approvals   -And More!      ***Must have computer and camera/smartphone with camera to complete work orders***      *Please respond with your name your state zip code your phone number and your email address. We will then contact you for further discussion and details.*         ,0
Are You Popular On Social Media?,imperial,http://imperial.craigslist.org/crg/5839267557.html,2016-10-21T08:18:21-0700,32.7948,-115.6927,creative,$100,Hello      We are a marketing firm based in California. Are you looking to make quick simple cash with no gimmicks? We are looking for people like you with a social media account where we can create a fan page for marketing research. This fan page is on business Facebook and it does not send you any notifications or bother your friends. Please send your name email and phone number if interested.      You must have an active Facebook account that you use daily      Sean Harrison   show contact info   (Text/Call)    ,0
Earn 100 bucks using your FB,sandiego,http://sandiego.craigslist.org/csd/lbg/5836033339.html,2016-10-19T08:18:12-0700,32.796835,-117.23942,labor,$100,We are paying 100 bucks for 1 time completion of our advertising task using FB. No repeats you will not get paid twice.      Here's the requirements to apply:   -fb account   -computer   -internet connection   -USA residency      Send your contact number. We will call you for more details.    ,0
re Survey scams - ATTENTION,sandiego,http://sandiego.craigslist.org/csd/evg/5823839062.html,2016-10-11T12:06:59-0700,32.7969,-117.2405,event,Unknown,"Read what the person who posted the ""Survey Scam"" ad.      That person suffered the consequence of replying to a survey ad. Not only are the ads appearing in the Domestic section they are in the Events section also and probably others as well. CL is flooded with this scam and I can't believe why other people aren't also putting out warnings. Probably embarrassed. Or curious about getting big $$ easily.      The email addresses of these scams usually have an assortment of endings  but seldom with "".com"" or "".org"". That in itself is a big-ass warning.      I'm telling you you'll be scammed be giving your computer and personal ID to foreigners and have no way to stop the abuse. FLAG FLAG FLAG sll of them before you or someone you know suffers the same fate. TREAT THEM AS JUNK MAIL IN YOUR HOME MAILBOX. DON'T EVEN CLICK ON THEM TO SEE WHAT THEY ARE ABOUT!! Wherever you see a survey ad flag it.      Be safe.    ",0
Line Cook/ Cocinero Part time Weekends evenings $12 an hour,sandiego,http://sandiego.craigslist.org/csd/lbg/5852415775.html,2016-10-29T14:02:32-0700,32.7973,-117.1392,labor,$12 hour plus tips,Restaurant Steakhouse busca un cocinero part time para trabajar Viernes SÃ¡bado y Domingo de 4:30 a 10pm.   $12 la hora mÃ¡s propinas.      Si Usted es RESPONSABLE HONESTO y con ganas de trabajar y empezar ahora mismo mÃ¡ndeme texto       Gracias Ari    ,0
CASTING CALL FOR LYFT CARPOOL KARAOKE,sandiego,http://sandiego.craigslist.org/csd/tlg/5852413747.html,2016-10-29T14:01:09-0700,32.8239,-117.1965,talent,To be discussed,We are looking for all types of people and age ranges to be passengers for a LYFT driver  to come pick you & will sing dance with and drive around san diego. If you loving dancing singing and having fun while driving to your destination then this gig was made for you.         Songs that will be played :      Bruno Mars - 24K Magic    Vanessa Carleton- 1000 Miles   Rihanna - Needed Me   Anime- Caroline    Solange- Don't Touch My Hair            **Professional headshots or professional experience not mandatory. We are looking for fresh new talent!      We encourage people from different ages ethnicities/looks nationalities and sexual orientations to submit.         Please respond WITH A PHONE NUMBER (and the BEST time to contact you when you will answer the phone) - do NOT have attachments put your information (resume experience photo whatever you have) in the body of your email      THANK YOU!!!          compensation will be discussed based on experience.    ,1
OPENING FOR PERSONAL ASSISTANT/BUSINESS MANAGER,sandiego,http://sandiego.craigslist.org/csd/dmg/5815232006.html,2016-10-05T20:37:26-0700,32.842962,-117.273731,domestic,$22 per hour,I am looking for an administrative assistant/intern to help for 10-20 hours a week for my real estate business. You will generally be working from home. Must have WIFI and a functional computer.  If you are interested please send me your resume.      Job duties may include: producing letters reports and memorandums via the computer; making photocopies files and distributing mail; making phone-calls.      Proficiency in Microsoft Office is a must and Quick books would be a huge plus!      This is a great opportunity for anyone interested in real estate  business or any other field.      E-mail a resume along with your photo.    ,0
Preschool/Kids Fitness Instructor,imperial,http://imperial.craigslist.org/dmg/5816601667.html,2016-10-06T17:32:08-0700,32.847,-115.573,domestic,Charge your own rates,FLYAROO Fitness: preschool exercise certification to teach dance yoga basic skills dance imagination and so much more- all in one class! We are theme-based and every month you receive a new place to travel in the classroom (i.e. circus zoo winter Hawaii).       Fitness enthusiasts teachers college students parents babysitters etc.- check out our online instructor training workshops! FLYAROO Fitness classes can be taught anytime anywhere.       The Instructor Training empowers our greatest asset YOU to share your love of fitness make extra money and have fun! You can teach the program in any setting with preschoolers: gym park beach preschool after school camps - the opportunities are endless. We build the curriculum we design the classes we choreograph the playlists YOU teach the program! We provide AFAA & NASM online credits.      We have over 100 instructors certified in training and working all over the world. FLYAROO Fitness also has a marketing team to ensure that the program is well-received nationwide. Our instructors make $30+/ hour.       Fall 2016 Promo: $100 for both certification for 1 year & online training (value $125); promo code at checkout: WeLoveFlyaroo! (must use the exclamation point)      http://flyaroofitness.com/product/online-instructor-training-academy/   ,0
Preschool/Kids Fitness Instructor,imperial,http://imperial.craigslist.org/dmg/5782597885.html,2016-09-15T05:55:18-0700,32.847,-115.573,domestic,Charge your own rates,FLYAROO Fitness: preschool exercise certification to teach dance yoga basic skills dance imagination and so much more- all in one class! We are theme-based and every month you receive a new place to travel in the classroom (i.e. circus zoo winter Hawaii).       Fitness enthusiasts teachers college students parents babysitters etc.- check out our online instructor training workshops! FLYAROO Fitness classes can be taught anytime anywhere.       The Instructor Training empowers our greatest asset YOU to share your love of fitness make extra money and have fun! You can teach the program in any setting with preschoolers: gym park beach preschool after school camps - the opportunities are endless. We build the curriculum we design the classes we choreograph the playlists YOU teach the program! We provide AFAA & NASM online credits.      We have over 100 instructors certified in training and working all over the world. FLYAROO Fitness also has a marketing team to ensure that the program is well-received nationwide. Our instructors make $30+/ hour.       http://flyaroofitness.com/product/online-instructor-training-academy/    ,0
Support Gig - Help People With What You Know,sandiego,http://sandiego.craigslist.org/csd/cpg/5852317973.html,2016-10-29T12:57:18-0700,32.8473,-117.2742,computer,30-100 an hr depending on your experience and activity,Hi there fellow craigslister!       We are looking for help with a project.    - we need someone for a one month - work when you can gig    - you would be testing a platform where users get help via live chat    - you would list out your expertise via tags and then help people via chat - earnings can range from 30 - 60 an hr all the way up to 100's.       - we will hopefully engage in at least 1-3 chats in this one month but it could be zero      Please email to learn more - no cost - nothing you have to pay --- just a gig to help people with what you already know. For example - if you're a marketing expert then you can chat with someone about that etc...       Thanks!    Sam    ,0
