Name,Location,URL,datetime,lon,lat,genre,pay,about,pornpoints,pornpercent,pornlevel
@@@ Seeking Carpet Cleaner wanted asap ~!~! Per hr. 25 !!!!,roseburg,http://roseburg.craigslist.org/lbg/5848058183.html,2016-10-26T17:20:29-0700,38.4826,-121.4006,labor,Per hr. 25 cash,Painting Cleaning & Carpet Cleaning is looking to hire an experienced carpet cleaner to join our team!      We are very busy fast paced and a great company to work for! We need someone who can handle our carpet cleans.      We are open to an hourly rate or a % of the jobs. Must have dependable transportation to get to work (you would use company van for jobs) drama free clear driving record drug free etc.      Thanks!    ,0,0.0,0
1000 for Adult Woman Actress. Needed ASAP,klamath,http://redding.craigslist.org/tlg/5851877712.html,2016-10-29T08:44:35-0700,38.6157,-121.5053,talent,1000,Hello.      About me:   I am looking for a young woman to help me by acting in my adult film. I have always dreamed of getting into this industry. I have been actively trying for the past 7 years now. It is really hard getting your foot in the door. Last year I finally saved up enough to make my first film and I did so with an established starlett in the industry. I'm now looking to do so with another starlett. I have a huge passion for this work. Meting new people is the best part of this entire experience. But it is costing a lot for me to keep trying to reach my dream of being a film director. I want this next film to be my last and let it help me reach my goals of directing. Ive saved up the past year to fiber the entire project and am now ready to select the last part of the cast. This is a 3 girl/1guy film. I only need to find 1 more female to select. I am young 25 athletic educated white and work full time as a hotel manager. I am married and have a little one on the way. I am looking for this to be my way of reaching my dreams and I am so excited to complete my journey.       My desired actress:   I really want the 3rd girl to be young thin and have a great face. I prefer petite of any race. But I am open to average build. Please with nothing but respect do not apply if on the heavier side. I am however very open to working with anyone who has an extemely beautiful face. I need a girl who is very reliable meaning they are very easy to get a hold of. They have to be professional and easy to communicate with. I do not wish to work with anyone who escorts or abuses drugs please. To sum it up looking for thin or average set women who are highly open minded not flaky respectful passionate like me with a lot of energy.       *I only pay in cash and I do so before any work is competed. This film will be kept private and I can provide the actress with a copy for their portfolio if needed.      * I have shared a lot about myself and I plese ask that you provide clear face photos body photos an acting name contact number so I can reach you quickly and tell me why you decided to get into the industry. I want to find someone with my sane passion    ,10,0.0044964028777,1
$$ Make Money Driving -- Up to $5k per month,bellingham,http://bellingham.craigslist.org/dmg/5836104259.html,2016-10-19T08:53:51-0700,38.8933,-77.0146,domestic,Up to $5k per month,"Got a car truck or some other vehicle? We connect you with shipments big and small up and down the country.       Bid on shipments win contracts and GET PAID.       No experience necessary. If you enjoy driving then CitizenShipper is right for you.       Visit ""CitizenShipper[dot] com"" to sign up today... or Google ""citizenshipper jobs""   ",0,0.0,0
@#Looking for Part Time Work?<>Up to $35ph Running Groceries!~$,bellingham,http://bellingham.craigslist.org/dmg/5844174783.html,2016-10-24T11:20:58-0700,38.8933,-77.0146,domestic,$35ph,"Get Paid to pickup groceries for people in your community. Start Today.      Visit GroceryBuddi[dot]com"" to sign up    ",0,0.0,0
Make Money Driving Up to $5k Per Month,bellingham,http://bellingham.craigslist.org/dmg/5847008046.html,2016-10-26T07:17:39-0700,38.9067,-77.0312,domestic,$5k Per Month,"CitizenShipper is a new way for you to turn your vehicle into a money-making machine.       All across the country people are looking to get stuff shipped. We connect those people with people like you who have spare room in their car or truck and who are can perform shipments.       Join the CitizenShipper community today and start making money with your vehicle.       Experience not required.      Visit ""CitizenShipper[dot] com"" to sign up today... or Google ""citizenshipper jobs""   ",0,0.0,0
Make Money with Your Vehicle>><< Up to $30 per hour,bellingham,http://bellingham.craigslist.org/dmg/5847010369.html,2016-10-26T07:19:05-0700,38.9327,-77.0322,domestic,$30 per hour,"Got a car truck or spare room in your vehicle?      CitizenShipper connects people with spare room in their vehicle with people who need to ship things.       Sign up today and start shipping stuff for cash.       No exp. Required.      Visit ""CitizenShipper[dot] com"" to sign up today... or Google ""citizenshipper jobs""   ",0,0.0,0
Daily Cash Generating,moseslake,http://wenatchee.craigslist.org/cpg/5834486790.html,2016-10-18T09:09:29-0700,38.9675,-76.8551,computer,$160-$800 weekly,Weekly Pay    ,0,0.0,0
Daily Cash Generating,wenatchee,http://wenatchee.craigslist.org/cpg/5834486790.html,2016-10-18T09:09:29-0700,38.9675,-76.8551,computer,$160-$800 weekly,Weekly Pay    ,0,0.0,0
College Basketball writer,eugene,http://eugene.craigslist.org/wrg/5849114030.html,2016-10-27T11:38:38-0700,39.0289,-95.2086,writing,$25 per game.,Do you go to every Oregon home game?  Are you an avid ducks fan?  Do you have a passion for writing and want to be a reporter?  We are looking for writers for a growing college basketball website.  We want people who can write eyewitness reports after important games.  Writers will be compensated (via PayPal) for as many as 8 home games for the 2016-17 season.  Articles should be between 150-250 words in length and include at least 4 personal observations about the game's play.  Human interest stories such as who sang the national anthem or who performed at halftime do not count as observations.  You will be credited with a byline in every article you write.  You will represent the West region in the layout of our website.  Please e-mail us with a photo that proves you are a fan that goes to the games.  Please do not send photos that show the barcodes of your game tickets; we cannot be held liable for theft.  However feel free to send us photos of last year's game tickets or you in attendance of a team rally preseason game or other past game that proves you are a fan.    ,0,0.0,0
Game App Testers,kpr,http://kpr.craigslist.org/cpg/5759381368.html,2016-08-31T08:21:44-0700,39.6481,-119.2918,computer,Financial Opportunities Available,Looking for Beta Test players for our game that launches in October. The designer is an award winning EA Sports game engineer that worked on Madden Football. This game is interactive and prizes will be available when game goes live. There is some really cool things that is going along with this game. The game is free and like Clash of Clans or Angry Birds this game will have in-app purchases but also has a way of earning free tokens. Reply to this post if you are interested and I will get you some more information and access to the site.      Thank you -   John   Be sure to check you junk/spam folder for correspondence    ,0,0.0,0
warehouse Opportunity,pullman,http://pullman.craigslist.org/lbg/5838198521.html,2016-10-20T13:01:13-0700,39.671,-104.9279,labor,$12/hr.,We are recruiting for a warehouse clerk!       REQUIREMENTS:    Must have 1-2 years experience shipping/receiving packing pull orders and pull orders.   Must have UPS & FED EX system experience   Must be able to lift up to 50lbs   Must be detail minded   Must have good communication skills    Must be dependable    Have good work ethic    Must be able to start immediately       $12/hr.    Full Time - Monday thru Friday-8:00am-5pm       Start as soon as possible    Temp-to-Hire       NO PHONE CALLS PLEASE!    **Don't forget about our referral bonus program if you refer someone who gets a job through us you will get a $50 bonus check once they complete 80 hours of work.   Please send resume and contact information::    ,0,0.0,0
Moving Furniture,klamath,http://redding.craigslist.org/lbg/5851133672.html,2016-10-28T16:21:25-0700,40.5605,-122.4116,labor,$12-$15,I need 2 professional guys to help me pack wrap and stack furniture in Redding CA tomorrow morning 8am Sharp...      Don't call if you don't want to show up and work ... no slackers ...    I pay cash ..       Call John    show contact info      ASAP    ,0,0.0,0
Virtual Support Techs $17 - $34 an hr,eastoregon,http://eastoregon.craigslist.org/cpg/5830951470.html,2016-10-16T02:45:30-0700,40.5612,-81.7943,computer,based on qualification,Looking for candidates ages 21 - 70 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
Alarm Techs/CCTV Installers Needed!!,spokane,http://spokane.craigslist.org/cwg/5850351877.html,2016-10-28T08:50:21-0700,40.5877,-98.3911,crew,1099 Subcontracting,Licensed Alarm Technicians Needed - 1099 contract work    compensation: 1099 contract work - rates to be discussed   Onepath: Seeking Licensed Alarm Technicians to perform field installation and maintenance dispatches. Onepath provides 1099 contract work to independent technicians and smaller-sized companies.       Alarm Technicians must have field experience/knowledge in commercial buildings.      Technicians should be comfortable:   - Running wire/cable   - Installing/replacing control panels   - Installing/replacing keypads   - Installing/replacing motion detectors   - Installing/replacing contacts   - Installing/replacing resistors   - Troubleshooting faulty zones      Systems that are frequently seen among our customers include:   - Vista   - Honeywell   - Ademco      Technicians must carry the following:   - Hand drill   - Screwdrivers   - Drill Bits   - Pliers/Cutters   - Telephone test set   - Multi-meter   - Ladder    - Etc.       Technicians must provide reliable transportation. Technicians must also have General Liability Insurance or be willing to purchase. This is 1099 contract work. If you are interested and possess the required skills please email me your Resume or fill out a profile on our Field-Techs website: www.field-techs.com   ,0,0.0,0
##@@  Part Time Labor Needed @@##,eastoregon,http://eastoregon.craigslist.org/lbg/5835917700.html,2016-10-19T07:14:07-0700,40.6226,-111.7777,labor,$12.00 hour,Part time help needed working with building materials. $12.00 hour one or two days a week. Good for student or employed needing extra work. Not a full time job. Days flexible. Respond with experience days available car and place you live.    ,0,0.0,0
carpet installler needed today,bend,http://bend.craigslist.org/lbg/5843114808.html,2016-10-23T17:32:37-0700,40.6596,-111.9193,labor,$200 cash the minute its completed,Im looking for a carpet installer for a simple 500 square foot rectangular living room. 1 seam. Carpet already on site.      Job needs to be done today.      Must provide tact strips and have own tools.      $200 cash when completed.      Text me asap.   ,0,0.0,0
carpet installler needed today,klamath,http://bend.craigslist.org/lbg/5843114808.html,2016-10-23T17:32:37-0700,40.6596,-111.9193,labor,$200 cash the minute its completed,Im looking for a carpet installer for a simple 500 square foot rectangular living room. 1 seam. Carpet already on site.      Job needs to be done today.      Must provide tact strips and have own tools.      $200 cash when completed.      Text me asap.   ,0,0.0,0
â–©â–©WAREHOUSE CLEANER IN OSSETTâ–©â–©,wenatchee,http://wenatchee.craigslist.org/lbg/5835196191.html,2016-10-18T15:35:42-0700,40.6964,-74.0253,labor,$400,OUR CLIENT BASED IN THE OSSETT AREA IS LOOKING FOR A TEMPORARY WAREHOUSE CLEANER.      THE ROLE REQUIRES A DEGREE OF FLEXIBILITY AS HOURS ARE BASED AROUND A ROTATING SHIFT PATTERN WORKING MONDAY TO FRIDAY 6AM - 2PM 2PM - 10PM.      RESPONSIBILITIES INCLUDE:      CLEANING VARIOUS AREAS OF THE WAREHOUSE TOILETS FLOORS & MACHINERY   TIDYING UP AT THE END OF EACH SHIFT            PREVIOUS EXPERIENCE OF WORKING IN A FOOD FACTORY WITHIN A SIMILAR ROLE WOULD BE ADVANTAGEOUS.   Text a contact PHONE NUMBER   ,0,0.0,0
Part time Cashier- Automotive Industry -$13/h,yakima,http://yakima.craigslist.org/lbg/5835196415.html,2016-10-18T15:35:51-0700,40.6964,-74.0253,labor,DOE,Job Description:    â€¢ Greet customers and collect admission fees   â€¢ Cashiering which includes issuing receipts refunds or change.   â€¢ Stock parts and organize/clean the parts showroom    â€¢ Make sales referrals cross-sell products and introduce new ones   â€¢ Resolve customer complaints in a timely manner       Job Requirements:   â€¢ Automotive background; must be knowledgeable with vehicle parts   â€¢ 2 years of customer service/warehouse experience   â€¢ This is a part time position (25-30 hours per week) and weekend hours are mandatory.    â€¢ This job pays $13/hr   ,0,0.0,0
Painter ASAP,moseslake,http://moseslake.craigslist.org/lbg/5820735611.html,2016-10-09T14:31:55-0700,40.7085,-74.0135,labor,Yes,We are looking for someone with painting our home. We do not think it will take more than an week possibly three days. We have a paint sprayer. Please send us an email with your price requirements and availability.       Thanks    ,0,0.0,0
MAKE EXTRA MONEY ONLINE WEEKLY,pullman,http://pullman.craigslist.org/lbg/5820735709.html,2016-10-09T14:31:59-0700,40.7085,-74.0135,labor,Yes,On line workers needed! We are in need of many online workers! Things required: A computer or Smart phone. You can reach Anthony Cruz at    ,0,0.0,0
Wanted Customer Service People,eugene,http://eugene.craigslist.org/lbg/5820777236.html,2016-10-09T15:04:14-0700,40.7139,-74.007,labor,Yes$$,Dispatchers wanted full time/pert-time for transportation company located in Addison. must be able to type at least 60 WPM must be able to multitask.must be able to work any shift must have clean criminal back ground. starting pay starts at $15 Per hour serious inquiry's only.          Plz Email your experience and    contact info and we will reply to qualified candidates soon: JeaneteHuffman **    ,0,0.0,0
Need Asap Muscles moving stuff,bend,http://bend.craigslist.org/lbg/5829046219.html,2016-10-14T16:05:29-0700,40.7484,-73.9967,labor,20$$,I'm currently in need of someone who can help move a king size bed from a second-floor apartment to a truck only a couple of desk and a few shelves and several boxes should take about 45 minutes to an hour will pay $20.00      I have truck and one other person I need one more person as soon as possible call or text reply number thank you    ,0,0.0,0
Cleaning Services Needed,corvallis,http://corvallis.craigslist.org/lbg/5835123968.html,2016-10-18T14:47:46-0700,40.7484,-73.9967,labor,$400,A good cleaner is needed to clean a family house 3 days in a week. Text Maria Wilson for details.$400 weekly.         Reply with your contact details...    ,0,0.0,0
Cleaner/Housekeeper,klamath,http://klamath.craigslist.org/lbg/5835124293.html,2016-10-18T14:47:59-0700,40.7484,-73.9967,labor,$400,We need a good and reliable worker to start working asap..Text Gen Joel   for details.compensation is $400 weekly   ,0,0.0,0
Need Asap Muscles moving stuff,klamath,http://bend.craigslist.org/lbg/5829046219.html,2016-10-14T16:05:29-0700,40.7484,-73.9967,labor,20$$,I'm currently in need of someone who can help move a king size bed from a second-floor apartment to a truck only a couple of desk and a few shelves and several boxes should take about 45 minutes to an hour will pay $20.00      I have truck and one other person I need one more person as soon as possible call or text reply number thank you    ,0,0.0,0
Warehouse Worker/Forklift Driver,pullman,http://pullman.craigslist.org/lbg/5835124399.html,2016-10-18T14:48:03-0700,40.7484,-73.9967,labor,$9.00,We are looking for someone who is capable of warehouse work and has prior forklift experience.   Must be able to lift 70+ lbs use a tape gun have common sense of stacking products on pallets and able to work in teams.      This is a part time job that may turn into full time. You MUST have a car and a cell phone.      Starting pay: $9.00 per hour.      Must submit resume to be considered!         Reply with your contact details...    ,0,0.0,0
Office and Personal Assistant,skagit,http://skagit.craigslist.org/lbg/5835124242.html,2016-10-18T14:47:57-0700,40.7484,-73.9967,labor,YES,Assistant position part-time for a few partial days a week with potential to work into more hours.Days weeknights and weekends depending on the needs of the business and dogs. Requires workers to be very dependable have their own transportation and be very detailed such as lights walls trim shelves inside cabinets behind and under equipment etc. while adhering to written instructions and lists.      Computer and administrative skills are required and will be tested for this position.      Previous experience with animals preferred but not mandatory. However the love of animals especially dogs required. Detailed cleaning is required.      Only workers who are able to pass a background check drug screen and are PASSIONATE about the care of and commitment to animals despite the pay level are invited to inquire.      Benefits for students are the use of an office with professional equipment and standards for studying and learning business skills. Internship is a possibility for students.      Test interview days are offered prior to the actual work.   ,0,0.0,0
Truck Driver ASAp___^&&*^,klamath,http://medford.craigslist.org/lbg/5820817990.html,2016-10-09T15:35:31-0700,40.7808,-73.9772,labor,Yes $$,Qualifications   At least 23 years old      Valid Class A CDL   2 years verifiable OTR   Make your own schedule the only requirement is that you are OTR for at least 20 days a month does not have to be consecutive      Must have flat bed/step deck experience or be willing to go through training      Cannot have DWI DUI or reckless driving on record within the past 5 years.   Consent to and pass a DOT pre-employment drug test.   United States citizen or possess a work permit/visa.      Benefits:   0.40 Per loaded mile   Average 2000-3000 miles per week      $250 Referral Bonus (after referred person is employed for 6 months)      Signup Bonus available   Loose Leaf Logs   1099 (no taxes taken)   Paid every Friday   Reimbursement for TWIC Card      Required experience:      Over The Road (flat bed step deck dry van refrig van): 2 years since 2011   Required license or certification:   ,0,0.0,0
Truck Driver ASAp___^&&*^,medford,http://medford.craigslist.org/lbg/5820817990.html,2016-10-09T15:35:31-0700,40.7808,-73.9772,labor,Yes $$,Qualifications   At least 23 years old      Valid Class A CDL   2 years verifiable OTR   Make your own schedule the only requirement is that you are OTR for at least 20 days a month does not have to be consecutive      Must have flat bed/step deck experience or be willing to go through training      Cannot have DWI DUI or reckless driving on record within the past 5 years.   Consent to and pass a DOT pre-employment drug test.   United States citizen or possess a work permit/visa.      Benefits:   0.40 Per loaded mile   Average 2000-3000 miles per week      $250 Referral Bonus (after referred person is employed for 6 months)      Signup Bonus available   Loose Leaf Logs   1099 (no taxes taken)   Paid every Friday   Reimbursement for TWIC Card      Required experience:      Over The Road (flat bed step deck dry van refrig van): 2 years since 2011   Required license or certification:   ,0,0.0,0
Virtual Support Techs $15 - $23 an hr,corvallis,http://corvallis.craigslist.org/cpg/5825108722.html,2016-10-12T09:08:42-0700,40.8169,-96.429,computer,based on qualification,Looking for candidates ages 25 - 63 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
Trim Crew of 3 Needed In Shasta,klamath,http://siskiyou.craigslist.org/cwg/5851229853.html,2016-10-28T17:43:53-0700,41.3174,-122.324,crew,200/lb,Need a reliable experienced crew of 3 to trim plants on a farm     for about 2 weeks.  Competitive prices will take migrant and out of state workers.    EMAIL ME only if you can make it out THIS WEEKEND BEFORE MONDAY    MUST HAVE EXACTLY 3 PEOPLE   ,0,0.0,0
lumberjack  (wood cutter),klamath,http://klamath.craigslist.org/lbg/5849549271.html,2016-10-27T16:08:12-0700,41.4767,-120.5456,labor,$100 a day cash,Need to have experience with a chainsaw and cutting trees. Someone that can work fast. We need someone to cut at least three cords of rounds a day. This is hard work! so only apply if your willing to work hard. pefer someone with a Truck that can get the wood and a chainsaw. willing to let the right person barrow ours if its the right person. The pay is $100 a day cash if it goes well it can lead to 5 days a week.    ,0,0.0,0
CDL DRIVERS NEEDED OTR,klamath,http://klamath.craigslist.org/lbg/5804919509.html,2016-09-29T09:44:47-0700,41.5994,-86.7077,labor,TRAVEL EXPENSES PAID GETTING TO TRUCK,CDL A   OTR 3000miles/week   Flatbed   Call Joe     show contact info   ,0,0.0,0
CDL DRIVERS NEEDED OTR,lewiston,http://lewiston.craigslist.org/lbg/5804996272.html,2016-09-29T10:24:33-0700,41.5994,-86.7077,labor,TRAVEL EXPENSES PAID GETTING TO TRUCK,CDL A   OTR 3000miles/week   Flatbed   Call Joe     show contact info   ,0,0.0,0
Virtual Support Techs $13 - $37 an hr,roseburg,http://roseburg.craigslist.org/cpg/5791732986.html,2016-09-21T01:45:19-0700,41.717406,-108.85269,computer,based on qualification,Looking for candidates ages 20 - 59 or older that are willing to learn can work without supervision driven goal oriented friendly and reliable.    ,0,0.0,0
stall cleaning 1-2 hours a day,klamath,http://klamath.craigslist.org/lbg/5821846733.html,2016-10-10T09:39:39-0700,41.838289,-121.406533,labor,$10 an hour,Looking for independent contractor. Must have own insurance.       Need reliable help cleaning stalls and paddocks for 1-2 hours a day 5 days a week. Will also be responsible for cleaning and filling water troughs.      Requirements: Must have experience working around large livestock (horses preferred). Ability to lift a pitch fork push and dump a wheel barrow. Be reliable and show up when expected. Being responsible (e.g. keeping gates closed and locked ensuring water troughs are clean and full).    ,0,0.0,0
Moving help,oregoncoast,http://oregoncoast.craigslist.org/lbg/5848303591.html,2016-10-26T22:01:02-0700,42.0526,-124.284,labor,25/hr,I need to hire 2 people for a 1 time moving job for approximately 2 hours.  The job will consist of loading a Uhaul truck with furniture and boxes etc from a garage and unloading the truck into a local storage unit at the destination. No driving needed.  The move needs to take place on Saturday Nov. 5.  Hours TBD depending on your availability.       Pay is $25 per hour per person.     Must be able to easily lift and move heavy items over 50 lbs.      If you are reliable and interested please call or text with your name and hours of availability.       This is a quick local move in Brookings.       Thanks!   Brooke    ,0,0.0,0
Photographer Needed Halloween,oregoncoast,http://oregoncoast.craigslist.org/crg/5835319408.html,2016-10-18T17:07:00-0700,42.0526,-124.284,creative,$75+,My fiance and I are staying in Brookings on Halloween night after a courthouse wedding in Medford.  Looking for a local photographer to take some shots of us in the Redwoods or at the beach weather permitting.  Open to a lot of different levels of experienced photographers - but if you have some sort of online portfolio it will help us decide.  Willing to pay $$$ based on experience.    ,0,0.0,0
Make $ handing out free samples!,oregoncoast,http://oregoncoast.craigslist.org/evg/5814425956.html,2016-10-05T11:13:08-0700,42.0526,-124.284,event,$22/hr,"Hello Craigslisters!      A west-coast agency is seeking a couple of people that we call ""Brand Ambassadors"" to help us hand out free samples in a grocery retail setting. This is as easy as it sounds. You are literally handing out free samples to help promote and bring awareness to already popular wine and beer brands. No experience necessary however a positive attitude is a must!      Supplies Needed:   OLCC (we can supply a temp)   Table and cloth   Chill Bucket (any kind of unbranded bucket or bowl will do)   Ability to purchase samples (of course we reimburse)      If this sounds like something you would be interested in please feel free to respond with your name a good working number and a few recent photos. Thank you and have a wonderful day.   ",0,0.0,0
Brand Ambassador needed!,oregoncoast,http://oregoncoast.craigslist.org/evg/5812686487.html,2016-10-04T10:21:01-0700,42.0526,-124.284,event,$20-25,"Hello Job Searchers!!       We are a promotional company that specializes in the promotion of alcoholic beverages such as beer wine and hard liquor. We are looking for what we call ""Brand Ambassadors"" to hand out free samples in stores and at special events. This includes getting people excited about the brand and stating brand facts/knowledge. The entire goal of the job is to increase sales and give people a good experience with the brand you are promoting. The pay is $20-25/hr and the events are usually about 3 hours long. This is flexible night and weekend work. A great and easy way to make extra $$$!       Requirements:    Upbeat and positive attitude!    Good reliable transportation!    Must be 100% committed and reliable!    Must be 21+!       This is a great opportunity and there will be many more upcoming events throughout the year. If you think you would be a good fit and are excited to earn some extra cash please email us with your name phone number a few recent photos. We look forward to hearing from you! Cheers!   ",0,0.0,0
Brand Ambassadors needed!,oregoncoast,http://oregoncoast.craigslist.org/evg/5809605924.html,2016-10-02T11:30:25-0700,42.0526,-124.284,event,20-25/hr,Want an easy fun flexible gig? Make $ handing out free samples in stores this weekend $20-25/hr.       We are promotional marketing company that staffs events throughout the West Coast. We are currently looking for Male & Female Brand Ambassadors to hand out free samples of well known brands in local stores for popular wine liquor and beer brands. As a Brand Ambassador you will be required to complete events you apply and are selected for and submit reports after event completion. Very fun and easy work if you enjoy talking to and meeting new people. Training is provided and only takes about 30 minutes over the phone!      Requirements:   ~21 years of age or older and a valid ID   ~Available to work weekends and/or evenings   ~Friendly and outgoing   ~Reliable and dependable   ~Must own a smart phone and have internet access            When responding please include:   Your name contact information and 1-2 recent photos. We look forward to hearing from you.   ,0,0.0,0
OMMP PATIENT IN NEED,oregoncoast,http://oregoncoast.craigslist.org/lbg/5838757588.html,2016-10-20T20:22:50-0700,42.074145,-124.300861,labor,Unknown,I had a grower who was growing my plants and he decided he wanted my medicine more than i needed it! So now Im shit outta luck and he is gone with my meds! Anyway looking for a real trustworthy grower with references now. I have my card and can pay the 50 for the tranfer to the new grower.    ,0,0.0,0
Roofing Helper,medford,http://medford.craigslist.org/lbg/5826236133.html,2016-10-12T23:56:06-0700,42.1348,-123.6272,labor,D.O.E,We are looking to hire someone experienced in roofing. The job is only a couple days and we are  are hoping to have it done as soon as possible. We aren't cheapskates and appreciate a job well done so your pay will match your work. This is the roof of our own home. If this sounds good and you'd like a shot send us an email with your phone number and some of your work experience. Thank you!   ,0,0.0,0
OMMP Ranch Help Needed!!,medford,http://medford.craigslist.org/lbg/5848999408.html,2016-10-27T10:38:30-0700,42.161495,-123.647861,labor,$10 hourly,looking for trustworthy reliable people who know how to work hard and who want to help harvest.  $10 per hour and if you are located within 10 miles of cave junction we can provide transportation.    ,0,0.0,0
Recreational marijuana workers wanted,medford,http://medford.craigslist.org/lbg/5788297920.html,2016-09-18T21:41:21-0700,42.175617,-123.096313,labor,15,Accepting applications for OLLC certified marijuana handlers. It's easy here's the link to the handbook and test   http://www.oregon.gov/olcc/marijuana/pages/mjworkerpermit.aspx   Work will be in the trimming process. Attention to detail a must. Please let me know where you are located and areas you're able to work. Pay starts at $15/hr. Must have own transportation.      Keywords: trim trimmer trimmers ommp cannabis marihuana canabis    ,0,0.0,0
Qualified Carpenter Wanted,medford,http://medford.craigslist.org/lbg/5842977177.html,2016-10-23T15:36:08-0700,42.1813,-123.0241,labor,To be decided,Finish work replace stair risers + other odd jobs.    ,0,0.0,0
Fir Floor resurfacing,medford,http://medford.craigslist.org/lbg/5818807524.html,2016-10-08T08:15:24-0700,42.182741,-122.681236,labor,Please quote the job or hourly,Small 10'x14' fir floor to be refinished.  Ready to go now.  You will need your own tools.  Must be completed by 10/14/16.    ,0,0.0,0
